3830 5749
2 2682 670
2 1543 2792
2 2774 1777
2 2522 2918
2 1470 1139
2 1951 3081
2 886 476
2 1835 840
2 1025 3687
2 2144 2876
2 1590 3214
2 1563 2534
2 3546 3321
2 571 39
2 264 537
2 578 3242
2 1522 2252
2 980 43
2 3776 2521
2 86 3809
2 1681 3227
2 2673 2005
2 3504 3359
2 328 2568
2 1465 1027
2 1028 1102
2 3174 2487
2 699 1314
2 2353 3073
2 1104 2381
2 2443 1053
2 3198 316
2 2052 1507
2 137 2471
2 1726 1136
2 3464 2287
2 1364 166
2 3331 2379
2 1895 921
2 2653 3672
2 721 1183
2 9 501
2 1153 2207
2 112 682
2 2300 436
2 3536 2298
2 2628 3196
2 267 3205
2 3512 254
2 889 2546
2 1389 3573
2 959 756
2 317 2703
2 1516 2392
2 685 475
2 3752 2029
2 2930 3155
2 2095 609
2 240 1163
2 3620 2575
2 3224 3519
2 1141 3039
2 2440 1207
2 1994 618
2 2642 3407
2 2894 389
2 2537 526
2 2056 1369
2 537 2461
2 2086 1388
2 2330 2722
2 1503 3202
2 3264 3228
2 238 289
2 1619 3724
2 2907 2107
2 1013 2220
2 1375 3808
2 3415 1277
2 366 687
2 1084 2829
2 2091 3045
2 2234 3427
2 2764 1383
2 2610 3292
2 3484 2706
2 1013 3807
2 3333 2884
2 2139 2039
2 67 2417
2 1808 1422
2 3267 493
2 3144 823
2 1931 3299
2 2343 1860
2 2782 2083
2 2395 2959
2 1338 3054
2 502 1178
2 477 3073
2 2906 1746
2 2759 2518
2 2980 1460
2 453 1155
2 939 1365
2 1001 1191
2 2801 3458
2 1430 1668
2 1135 3221
2 956 2279
2 483 868
2 711 3092
2 688 1764
2 1247 11
2 203 36
2 2329 3780
2 3189 2773
2 1909 2546
2 2938 2007
2 3400 2322
2 1460 61
2 3820 2121
2 954 3491
2 2603 2883
2 1099 2448
2 1632 2535
2 1339 894
2 3771 2357
2 1770 2797
2 715 255
2 43 1648
2 3195 2893
2 2249 2184
2 1952 681
2 95 3235
2 1180 863
2 2019 223
2 472 1627
2 2474 69
2 1679 2822
2 3756 3698
2 420 2770
2 2462 2405
2 152 904
2 2636 2218
2 1595 2587
2 3551 1030
2 1547 2398
2 2041 3051
2 1374 940
2 2332 3167
2 1739 2468
2 1210 2902
2 3503 393
2 1596 2964
2 2390 2436
2 2467 2669
2 3321 3656
2 2708 3584
2 3311 571
2 1179 850
2 1903 3178
2 1285 31
2 318 385
2 876 460
2 1586 248
2 2131 3682
2 1761 1922
2 324 1574
2 3150 2514
2 2478 3427
2 3672 2343
2 682 2539
2 791 1707
2 2796 349
2 749 2921
2 2648 2833
2 262 1629
2 1648 3288
2 2249 2713
2 3148 2877
2 1745 2945
2 228 2158
2 1010 2867
2 1457 1212
2 913 3116
2 3453 7
2 2262 1795
2 716 2938
2 1968 687
2 1136 2026
2 2329 1622
2 2850 2577
2 281 1807
2 1040 3298
2 3581 598
2 104 1508
2 3602 3152
2 1539 787
2 451 3581
2 2321 292
2 3594 227
2 2368 1579
2 2364 3620
2 1541 207
2 3560 3738
2 1183 1178
2 1956 231
2 2924 928
2 1110 891
2 751 2283
2 81 1894
2 1696 3174
2 1774 924
2 610 3618
2 194 1742
2 3182 3310
2 1273 2681
2 2012 2245
2 2330 2270
2 1471 329
2 1498 1970
2 971 2141
2 3060 2788
2 3501 336
2 1802 1560
2 1776 2826
2 3751 2545
2 2097 888
2 169 538
2 2571 3010
2 3421 3374
2 462 3252
2 405 2789
2 662 2701
2 3378 13
2 531 3498
2 1934 673
2 2085 1583
2 2105 1944
2 1357 1835
2 152 2414
2 1115 3
2 534 868
2 2958 3203
2 2918 163
2 67 1127
2 2810 106
2 3429 21
2 3016 2651
2 2900 2461
2 1507 264
2 867 3400
2 3534 1216
2 2795 211
2 2819 908
2 3554 1670
2 1423 456
2 591 810
2 662 1993
2 1957 1963
2 1685 1050
2 3269 307
2 227 270
2 1616 1145
2 341 2229
2 3442 2319
2 2224 3133
2 3339 2770
2 1821 3634
2 3710 543
2 3017 1630
2 1700 1641
2 2344 2486
2 3809 2645
2 3798 1605
2 3782 1173
2 1090 2337
2 3467 2167
2 3391 1631
2 80 3796
2 3775 161
2 1496 3421
2 2662 1070
2 731 604
2 2591 645
2 1319 1110
2 1837 2230
2 3470 3630
2 3380 2327
2 1300 2126
2 1123 2738
2 572 1956
2 3719 1790
2 1475 2257
2 1975 3216
2 1946 259
2 2881 1629
2 109 3429
2 1552 1016
2 3237 1768
2 3495 3453
2 1076 247
2 481 2884
2 3576 2081
2 1273 3639
2 3284 592
2 2451 3166
2 2070 3710
2 936 2123
2 1032 1531
2 1101 2017
2 1322 3494
2 1491 1542
2 642 2869
2 103 1788
2 1282 3420
2 1350 2759
2 2711 1376
2 2726 541
2 2286 3115
2 2908 1203
2 1506 3100
2 2885 3075
2 1540 3151
2 2872 3064
2 617 3018
2 581 592
2 1839 3067
2 3388 315
2 497 2214
