14592 22268
2 13716 2838
2 5258 12428
2 11569 4224
2 2866 376
2 3769 1035
2 13395 3492
2 5823 2064
2 2587 6085
2 1823 9080
2 9082 13081
2 7075 2718
2 4239 10489
2 5326 5339
2 2612 14049
2 6436 11025
2 14219 8237
2 10048 11472
2 84 6750
2 11603 2337
2 1178 9215
2 12246 6848
2 6820 272
2 12207 13890
2 9845 3605
2 10266 3436
2 4954 5522
2 4343 12221
2 2164 5727
2 1193 13139
2 13354 1923
2 10651 1936
2 12338 12618
2 9318 1434
2 13702 1738
2 14107 43
2 4090 10418
2 3430 835
2 4976 4727
2 3760 1327
2 9348 3192
2 7033 13357
2 6500 384
2 10088 6691
2 6660 8412
2 3448 10169
2 12574 9894
2 7784 13786
2 1874 3028
2 14227 3324
2 1578 1472
2 6393 3804
2 1609 5548
2 4617 10967
2 3334 212
2 11057 5836
2 11218 6629
2 10151 5554
2 3697 5249
2 3283 11384
2 2137 12279
2 13909 3508
2 13601 8966
2 1841 12669
2 13337 14402
2 10250 11817
2 5731 5219
2 10109 1511
2 2762 12109
2 13934 595
2 11313 12415
2 5859 12199
2 5327 8476
2 9878 3392
2 5724 5041
2 7374 508
2 3676 7333
2 812 6340
2 8629 2445
2 3660 7788
2 14537 7426
2 11065 2876
2 4345 7688
2 13787 4775
2 14096 11300
2 204 10102
2 4346 7030
2 11511 12787
2 12787 4682
2 13159 13289
2 12703 10477
2 8081 13881
2 990 255
2 5066 3542
2 10704 2494
2 7627 900
2 5372 8512
2 9459 14150
2 11107 12298
2 6581 11552
2 11939 8335
2 7772 6795
2 8487 5238
2 14160 9322
2 8613 12901
2 12402 4684
2 12236 1838
2 13203 10332
2 4696 4722
2 5429 4222
2 5996 9709
2 11996 9740
2 11728 7889
2 13102 12312
2 4809 6377
2 6627 8526
2 2310 3771
2 5486 10072
2 995 12051
2 11417 5509
2 12920 8480
2 8738 2417
2 13979 1997
2 6616 11782
2 9815 12610
2 6656 3885
2 9441 2732
2 12390 1965
2 4548 4325
2 9888 2312
2 2669 13910
2 2158 4298
2 8171 9175
2 12001 8557
2 11056 6621
2 13455 1925
2 4808 9676
2 11445 1628
2 6618 9262
2 10016 4314
2 10814 9154
2 1067 10745
2 13915 5564
2 5454 10684
2 414 13496
2 2195 6365
2 3652 8133
2 1492 9351
2 11618 8250
2 11016 8069
2 7188 5530
2 13131 13513
2 11304 13158
2 1819 6239
2 703 12843
2 7941 11214
2 13160 7265
2 2511 3510
2 7251 7038
2 7470 3112
2 8477 13240
2 11475 7332
2 7707 2818
2 7378 977
2 3840 7548
2 6697 9878
2 4395 10511
2 9302 7507
2 915 9627
2 4744 6127
2 6556 10546
2 12344 5422
2 175 2063
2 12825 3928
2 10607 11834
2 12308 192
2 13596 7129
2 4741 9429
2 11531 13370
2 12998 9711
2 5009 7719
2 12595 3919
2 6152 1565
2 4445 5567
2 8699 1914
2 11403 8169
2 3203 14001
2 11800 11348
2 10532 9335
2 7739 693
2 12244 13926
2 10123 8109
2 6078 5461
2 8249 1739
2 8413 6121
2 4397 5844
2 1036 3222
2 12330 3965
2 10917 5039
2 11349 12363
2 4347 7000
2 9540 5145
2 10010 5291
2 9743 3506
2 10426 406
2 9703 869
2 5572 6049
2 7647 1892
2 12405 4511
2 3368 6589
2 12484 1303
2 1260 4655
2 5923 4563
2 14520 9866
2 6755 9644
2 9697 11787
2 10577 13435
2 951 12676
2 551 2279
2 171 8826
2 12428 10548
2 6136 12151
2 2183 1044
2 12023 12208
2 5539 3104
2 8274 8299
2 5179 2669
2 2777 4854
2 14470 10999
2 6708 6648
2 4784 105
2 3778 1698
2 924 104
2 4312 9128
2 4322 4532
2 7360 312
2 10790 5071
2 9019 14476
2 5453 12115
2 10661 11150
2 11547 323
2 13173 13990
2 8189 6828
2 11299 9744
2 11479 6757
2 344 7943
2 11469 50
2 10595 6192
2 9447 8633
2 13741 13648
2 11608 4801
2 4321 12807
2 10338 2281
2 12018 4028
2 7467 12033
2 10716 12170
2 8570 12385
2 9746 13563
2 12724 7144
2 11609 9211
2 5827 3893
2 9136 8081
2 9862 10662
2 11545 8248
2 10236 2854
2 10922 7252
2 9048 6773
2 14007 2590
2 4108 9566
2 14379 5143
2 5318 6228
2 2145 12818
2 12831 7542
2 726 10023
2 13400 10385
2 2398 2244
2 11141 5590
2 14026 4859
2 4062 9404
2 11941 4773
2 12793 2055
2 8397 5643
2 5731 3340
2 11486 4104
2 14473 11901
2 8850 5139
2 6267 5855
2 1643 5767
2 12911 13178
2 2474 8038
2 10123 0
2 6248 10732
2 3025 4035
2 5117 10708
2 6414 7128
2 1928 11165
2 7041 2991
2 8822 155
2 3586 7708
2 7392 9846
2 11340 1216
2 8549 10063
2 12683 12246
2 9000 7425
2 329 141
2 10105 3202
2 3596 6142
2 13925 6957
2 709 7198
2 9785 3714
2 6048 13890
2 9707 7113
2 5749 6400
2 11580 5508
2 7012 5002
2 11677 9302
2 5780 6394
2 5450 12283
2 11153 5441
2 6532 5696
2 9537 2141
2 14168 5120
2 9907 4690
2 8547 7291
2 5631 1960
2 14494 6167
2 5331 12047
2 9681 7833
2 5224 8571
2 12768 9766
2 3474 10761
2 6835 1644
2 534 13631
2 2424 906
2 7819 1831
2 3990 7114
2 7639 8614
2 10343 11302
2 1666 29
2 3718 11225
2 8396 6258
2 11690 11754
2 3772 11055
2 5205 5320
2 1861 7771
2 11284 587
2 6320 5096
2 1392 14461
2 769 11297
2 13591 8051
2 8794 1301
2 12576 11784
2 8812 7407
2 10803 194
2 2545 12865
2 724 9455
2 6806 10465
2 2281 4887
2 5193 12578
2 12981 4358
2 3148 10775
2 12643 2667
2 13127 13738
2 13430 1136
2 7166 5561
2 5597 8626
2 5097 8409
2 14440 8813
2 9951 1044
2 13595 9374
2 2917 11287
2 4930 9003
2 14235 13587
2 4515 11216
2 2008 8206
2 7032 2008
2 10451 2525
2 4653 13019
2 1317 7994
2 2685 10773
2 14425 4795
2 10994 9686
2 3876 10349
2 10936 13481
2 1460 3028
2 12443 205
2 4508 13965
2 8906 8311
2 6785 1513
2 9793 10493
2 11105 11873
2 14265 2996
2 187 11655
2 4049 7547
2 2142 14442
2 11052 14479
2 11202 13721
2 12630 11208
2 3969 10900
2 13255 14324
2 10035 518
2 13299 12128
2 75 9047
2 7147 13690
2 9055 11533
2 10514 12722
2 11973 3988
2 12982 1402
2 7601 2567
2 4512 11896
2 7262 5609
2 9407 4084
2 13891 592
2 10633 7773
2 11927 13089
2 3021 14324
2 1120 12987
2 1088 5156
2 12622 6689
2 10370 3100
2 8375 13000
2 854 5569
2 2777 6540
2 3831 10623
2 5930 7284
2 11818 12835
2 10192 4398
2 8922 559
2 12055 9763
2 10236 162
2 11606 5148
2 1642 7444
2 12039 5223
2 2341 10651
2 7281 10216
2 1957 8376
2 8948 477
2 1827 2686
2 14237 12595
2 11586 10221
2 12847 10499
2 6211 8356
2 4198 8246
2 4421 10854
2 1124 11938
2 1631 12226
2 12249 5180
2 10335 8627
2 10150 12175
2 6195 7694
2 13448 1372
2 9625 10001
2 7189 3721
2 13310 775
2 4937 6622
2 3429 9115
2 6109 9926
2 11913 13703
2 283 6931
2 11323 6995
2 12490 2990
2 366 75
2 7434 6503
2 13722 2211
2 3076 6649
2 3675 11829
2 1534 8719
2 9078 3854
2 8182 4414
2 5015 14221
2 12610 11387
2 7873 13438
2 11208 3522
2 7388 7962
2 8096 9395
2 11003 4986
2 7220 268
2 8577 10293
2 5931 1974
2 2964 383
2 4002 12957
2 11284 7441
2 5150 11612
2 6701 6884
2 14228 6425
2 11724 7928
2 3752 469
2 10078 11869
2 2371 2958
2 10821 9965
2 10981 5666
2 14098 4737
2 6824 14012
2 11563 13643
2 5217 13733
2 7121 8134
2 9102 11015
2 10105 11758
2 1751 2386
2 8088 14158
2 13392 333
2 4696 9988
2 4590 5399
2 9665 5099
2 5725 14219
2 11204 485
2 9907 3462
2 11369 6165
2 13740 10187
2 61 2389
2 673 4277
2 7285 12272
2 1286 2227
2 6588 3801
2 13104 7414
2 15 1617
2 574 8168
2 14105 10618
2 414 9147
2 10540 10549
2 3103 154
2 1192 7618
2 169 7250
2 1196 12925
2 4702 11329
2 9479 9928
2 1034 4015
2 5903 6282
2 10926 7080
2 10448 3232
