12062 18111
2 8424 10246
2 4717 8546
2 10682 11522
2 1189 590
2 6692 8602
2 7929 367
2 1773 1182
2 937 6047
2 3685 1186
2 1421 3016
2 5300 3717
2 587 1664
2 3716 7125
2 11499 6004
2 4768 9429
2 2115 4723
2 5056 2108
2 11444 1147
2 5168 11509
2 11177 9860
2 773 9234
2 1976 2118
2 5579 1965
2 2077 9274
2 2148 7336
2 6238 9220
2 9741 11135
2 7709 319
2 4407 5275
2 10704 2206
2 5702 7871
2 2251 4611
2 10273 340
2 9499 1166
2 9901 3721
2 4180 7835
2 4404 7712
2 4385 9401
2 10322 3605
2 1012 8331
2 12034 7135
2 5826 10081
2 11758 2389
2 1570 4203
2 10741 11011
2 7003 1676
2 9278 2343
2 2649 6556
2 1057 3441
2 10764 10192
2 549 8306
2 4545 58
2 6286 4331
2 7519 7319
2 7728 11356
2 6396 9957
2 3813 251
2 4543 7619
2 6422 4492
2 1907 5836
2 8374 5825
2 4831 4758
2 10961 864
2 10079 7937
2 6004 11907
2 10120 9146
2 286 2536
2 5850 3260
2 2858 4438
2 7233 8348
2 4779 8481
2 819 9250
2 1518 3955
2 8164 9135
2 8269 3527
2 3537 2135
2 9557 5993
2 11959 4033
2 8469 6318
2 2310 752
2 670 10500
2 1630 10688
2 7157 5087
2 4029 344
2 9639 8691
2 3081 4550
2 730 252
2 10159 7526
2 6481 4628
2 7604 6901
2 4730 3908
2 6298 11983
2 9912 10751
2 2910 8151
2 11579 3455
2 762 4985
2 10184 9782
2 2799 5534
2 5359 7765
2 2467 9992
2 10663 5760
2 2222 10185
2 2164 942
2 3486 405
2 3436 6219
2 2642 3256
2 8920 6315
2 7829 2256
2 4396 684
2 11138 7493
2 3580 7289
2 695 8135
2 8088 5646
2 2780 5826
2 2869 8931
2 410 9149
2 2670 10922
2 10852 4938
2 8859 10995
2 1 8030
2 10497 4238
2 5192 3490
2 11192 10143
2 1888 8621
2 9335 6214
2 9678 11777
2 535 6762
2 2436 2810
2 6895 5456
2 7552 613
2 6561 6150
2 7113 9809
2 9761 3189
2 7909 10677
2 5177 3554
2 8851 1549
2 8136 4297
2 490 4211
2 2436 901
2 1981 11130
2 1737 9281
2 7057 4723
2 6174 10539
2 8392 1506
2 9243 1175
2 1346 5913
2 4187 12021
2 2155 9359
2 2879 4279
2 2526 11975
2 319 335
2 933 8022
2 4437 802
2 6394 6943
2 11811 8479
2 591 2606
2 11741 9732
2 10079 6056
2 10349 3367
2 10449 199
2 12056 2516
2 1079 3840
2 5141 9558
2 3773 4166
2 2307 6194
2 6880 7123
2 7821 6024
2 6366 3591
2 9299 11569
2 8728 1433
2 1216 1721
2 9662 1661
2 2574 6809
2 4113 9169
2 9112 69
2 963 10564
2 1547 9541
2 8957 3378
2 4845 5732
2 4963 10058
2 3920 6400
2 8748 7080
2 8708 7759
2 9400 2385
2 914 1672
2 2003 11264
2 146 7325
2 1329 2508
2 4793 5045
